28.11 W, 1590 MHz, 58
28.13 W, 1590 MHz, 58
28.65 W, 1635 MHz, 58
28.60 W, 1590 MHz, 58
28.09 W, 1590 MHz, 58
28.10 W, 1590 MHz, 58
28.09 W, 1590 MHz, 58
28.12 W, 1590 MHz, 58
28.10 W, 1590 MHz, 58
28.10 W, 1590 MHz, 58
28.13 W, 1590 MHz, 58
28.19 W, 1590 MHz, 58
28.21 W, 1590 MHz, 58
28.17 W, 1590 MHz, 58
28.26 W, 1597 MHz, 58
28.40 W, 1590 MHz, 58
28.50 W, 1597 MHz, 58
29.07 W, 1612 MHz, 58
30.36 W, 1597 MHz, 58
65.61 W, 1830 MHz, 68
132.02 W, 1912 MHz, 71
161.52 W, 1665 MHz, 70
101.69 W, 1597 MHz, 60
28.57 W, 1590 MHz, 59
29.60 W, 1597 MHz, 59
29.96 W, 1590 MHz, 59
32.15 W, 1717 MHz, 59
157.69 W, 1890 MHz, 70
166.96 W, 2137 MHz, 67
170.51 W, 2115 MHz, 67
169.66 W, 2257 MHz, 68
165.85 W, 2160 MHz, 68
168.24 W, 2227 MHz, 68
167.76 W, 2167 MHz, 68
167.62 W, 2235 MHz, 69
161.80 W, 2152 MHz, 68
162.93 W, 2167 MHz, 69
162.92 W, 2152 MHz, 69
162.92 W, 2167 MHz, 69
163.56 W, 2160 MHz, 70
164.15 W, 2175 MHz, 70
164.31 W, 2160 MHz, 70
164.41 W, 2160 MHz, 70
164.28 W, 2152 MHz, 70
164.30 W, 2152 MHz, 70
164.33 W, 2145 MHz, 70
164.24 W, 2145 MHz, 71
171.13 W, 2197 MHz, 71
171.13 W, 2212 MHz, 71
170.89 W, 2205 MHz, 71
170.72 W, 2205 MHz, 71
170.29 W, 2220 MHz, 72
170.12 W, 2227 MHz, 72
170.26 W, 2220 MHz, 72
170.19 W, 2227 MHz, 72
170.28 W, 2220 MHz, 72
170.37 W, 2220 MHz, 73
170.30 W, 2212 MHz, 73
170.37 W, 2220 MHz, 73
165.74 W, 2190 MHz, 73
166.01 W, 2182 MHz, 73
166.33 W, 2182 MHz, 73
166.32 W, 2175 MHz, 73
170.26 W, 2205 MHz, 73
170.42 W, 2212 MHz, 74
170.39 W, 2212 MHz, 74
170.35 W, 2205 MHz, 74
169.12 W, 2197 MHz, 76
171.70 W, 2055 MHz, 78
171.73 W, 2017 MHz, 78
161.59 W, 2032 MHz, 71
31.66 W, 1590 MHz, 68
30.80 W, 1590 MHz, 67
32.21 W, 1605 MHz, 66
76.81 W, 1837 MHz, 77
187.27 W, 1920 MHz, 79
168.00 W, 1710 MHz, 78
103.68 W, 1597 MHz, 68
41.52 W, 1597 MHz, 67
33.34 W, 1672 MHz, 66
87.03 W, 2032 MHz, 77
147.40 W, 2137 MHz, 74
166.86 W, 2122 MHz, 74
164.86 W, 2145 MHz, 74
161.82 W, 2055 MHz, 74
162.29 W, 2137 MHz, 74
163.25 W, 2062 MHz, 74
162.88 W, 2145 MHz, 74
163.26 W, 2077 MHz, 75
162.95 W, 2130 MHz, 75
163.09 W, 2085 MHz, 75
164.49 W, 2145 MHz, 75
163.41 W, 2100 MHz, 75
163.66 W, 2137 MHz, 75
163.82 W, 2100 MHz, 75
163.74 W, 2130 MHz, 75
163.74 W, 2100 MHz, 76
163.64 W, 2122 MHz, 76
163.97 W, 2100 MHz, 76
171.06 W, 2175 MHz, 76
170.86 W, 2175 MHz, 76
170.66 W, 2175 MHz, 76
170.79 W, 2167 MHz, 76
170.64 W, 2175 MHz, 76
170.43 W, 2205 MHz, 76
170.32 W, 2197 MHz, 76
170.27 W, 2205 MHz, 77
170.27 W, 2205 MHz, 77
170.33 W, 2205 MHz, 77
170.40 W, 2205 MHz, 77
170.37 W, 2205 MHz, 77
165.39 W, 2160 MHz, 77
164.86 W, 2137 MHz, 77
165.02 W, 2152 MHz, 77
165.03 W, 2137 MHz, 77
170.25 W, 2182 MHz, 77
170.53 W, 2197 MHz, 77
170.38 W, 2190 MHz, 77
170.33 W, 2197 MHz, 78
170.36 W, 2197 MHz, 78
168.92 W, 2190 MHz, 80
171.54 W, 2040 MHz, 82
171.67 W, 2002 MHz, 82
141.65 W, 2002 MHz, 76
74.55 W, 1590 MHz, 71
38.83 W, 1620 MHz, 71
32.39 W, 1605 MHz, 70
97.71 W, 1597 MHz, 79
150.94 W, 1905 MHz, 82
174.09 W, 1687 MHz, 81
130.20 W, 1702 MHz, 72
